"site","survey_year","transect_plot","quadrat","germ_survey_date","pick_color","number_germ","missing_germs","germ_notes","mort_survey_date","num_dead","mort_notes","days_since_germ","cum_dead","count_check"
"WL1",2022,3,3.5,2022-02-18,"green",8,0,NA,2022-05-18,1,"1 orange not strep",89,1,TRUE
"WL1",2022,3,3.5,2022-02-18,"green",8,0,NA,2022-07-01,0,NA,133,1,TRUE
"WL1",2022,3,4,2022-02-18,"green",3,0,NA,2022-04-01,0,NA,42,0,TRUE
"WL1",2022,3,4,2022-02-18,"green",3,0,NA,2022-04-27,0,NA,68,0,TRUE
"WL1",2022,3,4,2022-02-18,"green",3,0,NA,2022-05-18,0,"extra 2 red",89,0,TRUE
"WL1",2022,3,4,2022-02-18,"green",3,0,NA,2022-07-01,0,NA,133,0,TRUE
"WL1",2022,3,4.5,2022-02-18,"green",1,0,NA,2022-04-01,0,NA,42,0,TRUE
"WL1",2022,3,4.5,2022-02-18,"green",1,0,NA,2022-04-27,0,"shiny",68,0,TRUE
"WL1",2022,3,4.5,2022-02-18,"green",1,0,NA,2022-05-18,0,"0",89,0,TRUE
"WL1",2022,3,4.5,2022-02-18,"green",1,0,NA,2022-07-01,0,NA,133,0,TRUE
"WL1",2022,1,0,2022-02-18,"blue",2,2,NA,2022-04-01,0,NA,42,0,TRUE
"WL1",2022,1,0,2022-02-18,"blue",2,2,NA,2022-04-27,0,NA,68,0,TRUE
"WL1",2022,1,0,2022-02-18,"blue",2,2,NA,2022-05-18,0,"0",89,0,TRUE
"WL1",2022,1,0,2022-02-18,"blue",2,2,NA,2022-07-01,0,NA,133,0,TRUE
"WL1",2022,1,0.5,2022-02-18,"blue",4,0,NA,2022-04-01,1,NA,42,1,TRUE
"WL1",2022,1,0.5,2022-02-18,"blue",4,0,NA,2022-04-27,0,"extra green pick - last year?",68,1,TRUE
"WL1",2022,1,0.5,2022-02-18,"blue",4,0,NA,2022-05-18,0,"yellow herbiv",89,1,TRUE
"WL1",2022,1,0.5,2022-02-18,"blue",4,0,NA,2022-07-01,0,NA,133,1,TRUE
"WL1",2022,1,1,2022-02-18,"blue",1,0,NA,2022-04-01,0,NA,42,0,TRUE
"WL1",2022,1,1,2022-02-18,"blue",1,0,NA,2022-04-27,0,NA,68,0,TRUE
"WL1",2022,1,1,2022-02-18,"blue",1,0,NA,2022-05-18,0,"0",89,0,TRUE
"WL1",2022,1,1,2022-02-18,"blue",1,0,NA,2022-07-01,0,NA,133,0,TRUE
