"Date_entered","Entered_by","Census_year","Census_date","Collected_by","Site","Transect_plot","Quad","Tag","2018tag","2019tag","Pick_color","Sword_color","Band","Band_color","Band_num","Xcoord","Ycoord","Stem_diam_mm","Height_cm","Canopy_width_cm","Phenology","Num_flowers","Num_fruits","Longest_fruit_cm","Num_repro_branches","Num_total_branches","Longest_leaf_cm","Herbivory","Category_herbivory","Buds","Year_marked","Notes","Stem_diam_mm_UFA","plant_id","original_census_year"
NA,NA,2020,2020-05-31,"Eva, MB, LL","TM2","lower","15.5",NA,NA,NA,NA,NA,NA,"yellow",3,2,2,NA,NA,NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TM2_lower_15.5_yellow_3",2020
NA,NA,2020,2020-05-31,"Eva, MB, LL","TM2","lower","15.5",NA,NA,NA,NA,NA,NA,"yellow",163,6,19,NA,NA,NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TM2_lower_15.5_yellow_163",2020
NA,NA,2020,2020-05-31,"Eva, MB, LL","TM2","lower","15.5",NA,NA,NA,"green",NA,NA,"blue",655,29,20,"1.38",25.5,NA,"P",0,3,62,1,1,NA,"Y",NA,NA,NA,NA,1.38,"TM2_lower_15.5_blue_655",2020
NA,NA,2020,2020-05-31,"Eva, MB, LL","TM2","lower","15.5",NA,NA,NA,"orange",NA,NA,"blue",73,4,12,"1.46",29.8,NA,"P",0,3,58,1,1,NA,"Y",NA,NA,NA,NA,1.46,"TM2_lower_15.5_blue_73",2020
NA,NA,2020,2020-05-31,"Eva, MB, LL","TM2","lower","16.5",NA,NA,NA,NA,NA,NA,"yellow",19,32,8,NA,NA,NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TM2_lower_16.5_yellow_19",2020
NA,NA,2020,2020-05-31,"Eva, MB, LL","TM2","lower","16.5",NA,NA,NA,NA,NA,NA,"yellow",178,7,17,NA,NA,NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TM2_lower_16.5_yellow_178",2020
NA,NA,2020,2020-05-31,"Eva, MB, LL","TM2","lower","16.5",NA,NA,NA,"orange",NA,NA,"blue",602,47,20,"1.98",32.5,NA,"P",0,13,88,1,1,NA,"Y",NA,NA,NA,NA,1.98,"TM2_lower_16.5_blue_602",2020
NA,NA,2020,2020-05-31,"Eva, MB, LL","TM2","lower","16.5",NA,NA,NA,"yellow",NA,NA,"blue",53,20,6,"1.61",26,NA,"P",0,7,75,1,1,NA,"Y",NA,NA,NA,NA,1.61,"TM2_lower_16.5_blue_53",2020
NA,NA,2020,2020-05-31,"Eva, MB, LL","TM2","lower","17.0",NA,NA,NA,NA,NA,NA,"yellow",79,18,14,NA,NA,NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TM2_lower_17.0_yellow_79",2020
NA,NA,2020,2020-05-31,"Eva, MB, LL","TM2","lower","17.5",NA,NA,NA,"green",NA,NA,"blue",606,8,3,"3.96",43.1,NA,"P",0,12,68,1,1,NA,"Y",NA,NA,NA,NA,3.96,"TM2_lower_17.5_blue_606",2020
NA,NA,2020,2020-05-31,"Eva, MB, LL","TM2","lower","17.5",NA,NA,NA,"orange",NA,NA,"blue",765,26,6,"2.11",34.5,NA,"P",0,2,66,1,1,NA,"Y",NA,NA,NA,NA,2.11,"TM2_lower_17.5_blue_765",2020
